RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
					
Tipo de Bibliografía	Titulos consignados	Titulos Disponibles 	% Cobertura		
Geología y Exploración de Depósitos Minerales 	501	Ellis, D. V., Singer, J.M., 2008. Well logging for Earth Scientists. 2nd th edition, Springer	COMPLEMENTARIA		0
Geología y Exploración de Depósitos Minerales 	501	 P., Brooks, M., Hill, I., 2002. An Introduction to Physical Exploration. Blackwell Science.	COMPLEMENTARIA		0
Geología y Exploración de Depósitos Minerales 	501	Kertz, W., 1986. Einführung in die Geophysik, Bd.1, Erdkörper. 232p.; B.I.Hochschulbücher, Bd.275.	COMPLEMENTARIA		0
Geología y Exploración de Depósitos Minerales 	501	Lewis, R.S. & Clark, E.M., 1967. Elements of mining. – Wiley & Sons, New York.	COMPLEMENTARIA		0
Geología y Exploración de Depósitos Minerales 	501	Lowell, J.D. & GUILBERT, J.M., 1970. Lateral and Vertical Alteration Mineralization	COMPLEMENTARIA		0
Geología y Exploración de Depósitos Minerales 	501	Lowrie, W., 2007. Fundamentals of Geophysics. 2nd edition, Cambridge University Press.	COMPLEMENTARIA		0
Geología y Exploración de Depósitos Minerales 	501	Rose, A.W. & Burt, D.M., 1979. Hydrothermal Alteration. -In: Barnes, H.L. (ed.): Geochemistry of Hydrothermal Ore Deposits: p. 173-235, 17 Fig.; Wiley & Sons, New York, Chichester, Brisbane, Toronto.	COMPLEMENTARIA		0
Geología y Exploración de Depósitos Minerales 	501	Sawkins, F.J., 1984. Metal deposits in relation to plate tectonics.- 325 p. Minerals and Rocks No. 17; Springer Verlag, Berlin.	COMPLEMENTARIA		0
Geología y Exploración de Depósitos Minerales 	501	Seigel, H.O., 1995. A guide to high precision land gravimeter surveys. – 122 ps, Canada (documento en formatopdf).	COMPLEMENTARIA		0
Geología y Exploración de Depósitos Minerales 	501	Sillitoe, R.H., 1973. The tops and bottoms of Porphyry Copper Deposits.- Econ. Geol., vol. 68, página 799-815.	COMPLEMENTARIA		0
Geología y Exploración de Depósitos Minerales 	501	Sillitoe, R.H., 1995. Exploration and discovery of base- and precious-metal deposits in the circum-pacific region during the last 25 years. Resource Geol. Spec. Issue No.19: 119p., Soc. of Resource Geol..	COMPLEMENTARIA		0
Mecánica de Rocas 	501	OBERT, L. and W.I.  DUVALL, “Rock Mechanics and the Design of Structures in Rock”, Mc-Graw-Hill Book Co., New York.	OBLIGATORIA		0
Mecánica de Rocas 	501	Resistencia de materiales, (1967) Mc-Graw-Hill Book Co., Hoek &Brown (1970) Rocks Mechanics	OBLIGATORIA		0
Mecánica de Rocas 	501	Hoek &Brown (1970) Rocks Mechanics	OBLIGATORIA		0
Mecánica de Rocas 	501	LOVE, A.E.H., “The Mathematical Theory of Elasticity”, McGraw-Hill Book Co., New York.	COMPLEMENTARIA		0
Mecánica de Rocas 	501	DURELLI, A.J., PHILLIPS, E.A., and TSAO, C.H., “Introduction to the Theorical and Experimental Analysis of Stress and Strain”, McGraw-Hill Book Co., New York.	COMPLEMENTARIA		0
Mecánica de Rocas 	501	TIMOSHENKO, S., and GOODIER, J.N., “Theory of Elasticity”, McGraw-Hill Book Co., New York.	COMPLEMENTARIA		0
Mecánica de Rocas 	501	DEGREE, D.V., MILLER, R.O., “Engineering classification and index properties for intact rock”.	COMPLEMENTARIA		0
Geoestadística 	501	Kennedy J. & Neville, A. (1982). Estadística para ciencias e ingeniería. Haroer & Row Publishers, México.	OBLIGATORIA		0
Geoestadística 	501	Journel, A.  &  Huijbregts, Ch. (1978) Mining geostatistics. Academic Press	COMPLEMENTARIA		0
Geoestadística 	501	Chiles, J. & Delfiner, P. (2012) Geostatistics: Modeling Spatial Uncertainty. WILEY Series in Probability and Statistics	COMPLEMENTARIA		0
Taller de Liderazgo y Ética	501	Benavides E.M. (2004) Relationship of Situational Leadership to Organizational Commitment. Proceedings Of the International Journal of Industrial Engineering. Applications and Practice. Las Vegas NV. USA.	COMPLEMENTARIA		0
Taller de Liderazgo y Ética	501	Carrier K. (2001). Situational Leadership: Recognizing Differences. National League of Cities. Vol. 24, 5.	COMPLEMENTARIA		0
Taller de Liderazgo y Ética	501	Shamir B. (2001). Charismatic Leadership in Organizations. Journal of Occupational and Organizational Psychology. Vol. 74, 112-114.	COMPLEMENTARIA		0
Planificación Minera Subterránea 	502	Fernberg Hans, (2007), Mining Methods in Underground Mining Atlas Copco, Atlas Copco	COMPLEMENTARIA		0
Excavaciones Mineras 	502	Evert Hoek (1980) Practical rock engineering	OBLIGATORIA		0
Excavaciones Mineras 	502	Methods of geologycal engineering in discontinous rocks (1976) Richard Good	OBLIGATORIA		0
Excavaciones Mineras 	502	Block theory and its application to rock engineering (1985) Richard Goodman	OBLIGATORIA		0
Excavaciones Mineras 	502	Mecánica de rocas, Fundamento en ingeniería de taludes (2004), Pedro Ramírez	OBLIGATORIA		0
Excavaciones Mineras 	502	Problemas de Mecánica de rocas. Fundamentos e Ingeniería de taludes (2005)	OBLIGATORIA		0
Excavaciones Mineras 	502	Guía de ccriterios geomecánicos para diseño, construcción, supervisión y cierre de labores subterráneas (2017)	COMPLEMENTARIA		0
Excavaciones Mineras 	502	Rock mass classification and support design (2015) NGI	COMPLEMENTARIA		0
Preparación Mecánica y Concentración de Minerales 	502	Santander, Mario, Apuntes Curso Preparación Mecánica de Minerales I, Departamento de Metalurgia, Universidad de Atacama, 2004	OBLIGATORIA		0
Preparación Mecánica y Concentración de Minerales 	502	Frank Walsh, Un primer curso de ingeniería electroquímica	COMPLEMENTARIA		0
Preparación Mecánica y Concentración de Minerales 	502	Adicionalmente se empleará material bibliográfico extraído de publicaciones periódicas a ser señaladas por el profesor.	COMPLEMENTARIA		0
Análisis y Simulación de Sistemas Mineros 	601	García,  E. & García,  H. (2006). Análisis de sistemas con Promodel, Pearson Educación, Mexico	NO INDICA		0
Análisis y Simulación de Sistemas Mineros 	601	 Sturgul, J. (2000). Mine design: examples using simulation. SME - USA.	NO INDICA		0
Economía de Minerales 	601	Singer, Hans W., 1950, “The Distribution of Gains between Investing and Borrowing Countries”, American Economic Review, Vol. 40, Nº 2. PP. 473-485.	OBLIGATORIA		0
Economía de Minerales 	601	Radetzki, Marian, and Tilton, John, 1990, “Conceptual and Methodological Issues”. Tilton, John, ed., “World Metal Demand: Trends and Prospects”. Pp. 13-34.	OBLIGATORIA		0
Economía de Minerales 	601	Tilton, John E., 1991, “Material Substitution: The Role of New Technology”. Nebojsa and Arnulf, eds., Diffusion of Technologies and Social Behavior. Pp. 383-406.	OBLIGATORIA		0
Economía de Minerales 	601	Howard L. Hartman, ed., 1992, SME Mining Engineering Handbook, 2º Edition, Vol. 1. Littleton, CO: SME.	OBLIGATORIA		0
Economía de Minerales 	601	Tilton John E., 1992, “Mineral Endowment, Public Policy and Competitiveness: A Survey of Issues”, Resources Policy, Dec, pp. 237-249.	COMPLEMENTARIA		0
Economía de Minerales 	601	Peck, Merton J., Landsberg, Hans H., and Tilton, John E., eds., 1994, “Competitiveness in Metals: The Impact of Public Policy”, Mining Journal Books, London.	COMPLEMENTARIA		0
Economía de Minerales 	601	David, Simpson, ed., 1999, Productivity in Natural Resource Industries. Washington, DC: Resources for the Future.	COMPLEMENTARIA		0
Economía de Minerales 	601	Tilton, John E., 1999, “The Future of Recycling”, Resources Policy, Vol 25, Nº3, pp 197-204	COMPLEMENTARIA		0
Economía de Minerales 	601	Tilton, John E., 2003, “Creating Wealth and Competitiveness in Mining”, Mining Engineering, Sep, pp. 15-22.	COMPLEMENTARIA		0
Economía de Minerales 	601	Tilton John E., ed., 2004, “¿Con los Días Contados? Un Análisis del Agotamiento de los Minerales”, Santiago, Chile: Universidad Católica.	COMPLEMENTARIA		0
Taller de Relaciones Interpersonales 	601	Viveros, J A (2003), Liderazgo, Comunicación Efectiva y Resolución de Conflictos. Santiago, Organización Internacional del Trabajo.	COMPLEMENTARIA		0
Trabajo de Titulación 	602	Quezada, N. (2010). Metodología de la investigación. Ed. Empresa Editora Macro	OBLIGATORIA		0
