4717	,	1288
1933	,	1852
27194	,	1933
28410	,	4148
28420	,	4717
27228	,	10887
4118	,	10997
19861	,	11571
18216	,	11730
27824	,	11746
2868	,	11882
22635	,	12149
23891	,	14363
23893	,	15779
9967	,	16653
22758	,	18247
11153	,	18517
15531	,	19855
14670	,	21038
2135	,	21800
18517	,	22739
11571	,	24849
27211	,	
4148	,	
27214	,	
12149	,	
15504	,	
16240	,	
21800	,	
22513	,	
14607	,	
13136	,	
13032	,	
15001	,	
11795	,	
10887	,	
22493	,	
12262	,	
21829	,	
16080	,	
21038	,	
11882	,	
11746	,	
10997	,	
12497	,	
11520	,	
4267	,	
8173	,	
13414	,	
11783	,	
21393	,	
25757	,	
13284	,	
4194	,	
11965	,	
20912	,	
21406	,	
22779	,	
16653	,	
21413	,	
1288	,	
24862	,	
24850	,	
1852	,	
24516	,	
1607	,	
4268	,	
24000	,	
26156	,	
27074	,	
23997	,	
18247	,	
22613	,	
22739	,	
11653	,	
24849	,	
19855	,	
14363	,	
1193	,	
18242	,	
28411	,	
27212	,	
8910	,	
15779	,	
12186	,	
12187	,	
11730	,	
27190	,	
27223	,	
27207	,	
23996	,	
26347	)	
