25566	,	10584
23966	,	15742
22239	,	16764
25107	,	19092
24661	,	19184
21467	,	19671
16764	,	21442
9245	,	21449
18553	,	21467
24967	,	21569
26238	,	21630
25037	,	22239
24511	,	22427
24533	,	23966
25070	,	24940
24940	,	24966
21630	,	25566
26348	,	
21196	,	
19671	,	
26241	,	
16345	,	
24966	,	
24038	,	
25353	,	
21449	,	
21569	,	
28115	,	
11598	,	
20908	,	
8115	,	
908	,	
19096	,	
22427	,	
18959	,	
27832	,	
21513	,	
19184	,	
21973	,	
3649	,	
21442	,	
13013	,	
10584	,	
15742	,	
20348	,	
22011	,	
19588	,	
12142	,	
19092	)	
