27483	Etiquetas de fila	1		
27211	35	1		22713
4134	51	1		12093
4382	53	1		4431
4082	55	1		4127
4127	79	0		28311
	116	0		22495
26346	135	1		22764
28405	136	1		4226
22713	155	0		18901
12093	159	0		3878
4134	161	1		28425
4382	162	1		7505
4382	164	1		28328
4431	167	0		1059
4267	169	1		5514
16264-4152	170	0		
4226	178	0		
23999	194	1		
28403	224	1		
18901	262	0		
26218	276	0		
28405	287	1		
22303	290	1		
21511	303	1		
22680	304	1		
4267	327	1		
4267	330	1		
21511	342	1		
4382	358	1		
18901	359	0		
28405	380	1		
4453	398	1		
28311	412	0		
28405	437	1		
	2465			
	2467			
	2468			
	2473			
	2475			
	2477			
	2479			
	2481			
	2482			
	2483			
	2486			
	2491			
	2496			
	2500			
	2501			
	2502			
	2506			
	2508			
	2509			
	2510			
	2512			
	2514			
	2518			
	2519			
	2522			
	2523			
	2525			
	2534			
	2536			
	2538			
	2541			
	2542			
	2544			
	2545			
	2547			
	2551			
	2554			
	2557			
	2561			
	2564			
	2567			
	2575			
	2576			
	2581			
	2585			
	2588			
	2590			
	2600			
	2601			
	2607			
	2609			
	2611			
	2613			
	2614			
	2616			
	2625			
	2634			
	2637			
	2641			
	2644			
	2647			
	2658			
	2660			
	2661			
	2663			
	2667			
	2671			
	2674			
	2677			
	2680			
	2682			
	2683			
	2684			
	2688			
	2690			
	2698			
	2701			
	2702			
	2704			
	2708			
	2711			
	2713			
	2719			
	2724			
	2727			
	2728			
	2731			
	2734			
	2735			
	2736			
	2739			
	2743			
	2753			
	2757			
	2760			
	2766			
	2770			
	2771			
	2773			
	2774			
	2776			
	2781			
	2782			
	2783			
	2786			
	2789			
	2794			
	2798			
	2801			
	2806			
	2808			
	2809			
	2811			
	2813			
	2814			
	2816			
	2817			
	2820			
	2821			
	2822			
	2828			
	2829			
	2830			
	2833			
	2834			
	2835			
	2837			
	2841			
	2844			
	2856			
	2857			
	2858			
	2860			
	2863			
	2867			
	2868			
	2872			
	2874			
	2879			
	2884			
	2887			
	2889			
	2890			
	2893			
	2903			
	2904			
	2905			
	2906			
	2907			
	2908			
	2909			
	2917			
	2919			
	2924			
	2927			
	2928			
	2930			
	2933			
	2934			
	2935			
	2937			
	2938			
	2939			
	2946			
	2947			
	2948			
	2950			
	2951			
	2952			
	2954			
	2962			
	2963			
	2964			
	2965			
	2967			
	2969			
	2972			
	2974			
	2976			
	2977			
	2978			
	2979			
	2982			
	2984			
	2985			
	2988			
	2992			
	2993			
	2994			
	3001			
	3006			
	3008			
	3012			
	3013			
	3015			
	3016			
	3017			
	3020			
	3022			
	3023			
	3024			
	3027			
	3029			
	3033			
	3038			
	3044			
	3045			
	3046			
	3050			
	3051			
	3055			
	3056			
	3057			
	3059			
	3063			
	3065			
	3067			
	3074			
	3082			
	3099			
	3100			
	3113			
	3120			
	3132			
	3136			
	3137			
	3144			
	3150			
	3174			
	3193			
	3205			
	3209			
	3215			
	3225			
	3228			
	3237			
	3239			
	3247			
	3251			
	3256			
	3263			
	3274			
	3282			
	3284			
	3286			
	3287			
	3308			
	3309			
	3335			
	3337			
	3341			
	3345			
	3349			
	3376			
	3383			
	3387			
	3390			
	3413			
	3414			
	3420			
	3425			
	3427			
	3431			
	3450			
	3462			
	3464			
	3466			
	3476			
	3496			
	3505			
	3508			
	3520			
	3523			
	3525			
	3528			
	3529			
	3537			
	3548			
	3551			
	3563			
	3579			
	3584			
	3586			
	3598			
	3607			
	3608			
	3638			
	3645			
	3649			
