 BIBLIOGRAFICA DERECHO						
						
CARRERA:	DERECHO					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	NRO DE BIB# 	Prestamos 0
Expresión  Oral y Escrita	PRIMERO	REYZÁBAL, Mª Victoria (1993) La comunicación oral y su didáctica, Madrid, La M	OBLIGATORIA	3	12099	
Expresión  Oral y Escrita	PRIMERO	CASSANY, Daniel (2003) Construir la Escritura, Paidós.	OBLIGATORIA	11	14260	
Expresión  Oral y Escrita	PRIMERO	GARCÍA    DEL   TORO,    Antonio.    (2004).    Comunicación     y   expresión    oral   y   escrita:    la dramatización   como  recurso,  Graó.	OBLIGATORIA	10	26524	0
Expresión  Oral y Escrita	PRIMERO	Gómez Torrego, Leonardo, (2006). Hablar y escribir correctamente. Gramática normativa del español actual, 2 vols., Madrid, Arco Libros.	COMPLEMENTARIA	0		0
Expresión  Oral y Escrita	PRIMERO	Martínez De Sousa,  José,  (1998). Diccionario de usos y dudas del español actual,  Barcelona, Vox.	COMPLEMENTARIA	1	14484	0
Historiadel Derecho Occidental	PRIMERO	BARRIENTOS  GRANDÓN,  Javier  (2003)  Curso de Historia del Derecho  Tomo I. Ed. LexisNexis.	OBLIGATORIA	10	20930	
Historiadel Derecho Occidental	PRIMERO	BRA YO LIRA,  Bernardino  (1993)  Historia  de las Instituciones Políticas  de Chile e Hispanoamérica.  Editorial  Andrés Bello, Santiago.	OBLIGATORIA	15	9423	
Historiadel Derecho Occidental	PRIMERO	TOMÁS  Y V ALIENTE,  Francisco (1990) Historia del Derecho Español. Editorial Tecnos. Madrid.	OBLIGATORIA	10	1660	
Historiadel Derecho Occidental	PRIMERO	Bravo  Lira,  Bernardino  Derecho  Común  y Derecho  Propio  en el Nuevo  Mundo.  Editorial  Jurídica  de Chile,  1989.	COMPLEMENTARIA	12	2134	0
Historiadel Derecho Occidental	PRIMERO	Salazar,  Gabriel,  Pinto  Julio.  Historia  Contemporáneo  de Chile. Editorial  Lom.  Santiago  1999	COMPLEMENTARIA	26	15428-24942	
Instituciones  de Derecho Romano	PRIMERO	SAMPER  POLO,  Francisco  (1993)  Derecho  Romano.  Ediciones  Univ. Inter.  SEK.	OBLIGATORIA	12	2084	
Instituciones  de Derecho Romano	PRIMERO	DE ÁVILA  MARTEL,  Alamiro  (1992)  Derecho  Romano.  Ed. Jurídica  Chile.	OBLIGATORIA	17	5180	
Instituciones  de Derecho Romano	PRIMERO	 GUZMAN  BRITO,  Alejandro  (1996)  Derecho  Privado  Romano.  Ed. Jurídica  de Chile.	OBLIGATORIA	16	3464	
Instituciones  de Derecho Romano	PRIMERO	MIQUEL.  Derecho  Privado  Romano.  Primera  ed.  1992,  Madrid  ,España,  Marcial  Pons Ed. Jur.	COMPLEMENTARIA	0		0
