BIBLIOGRAFÍA DE INGENIERIA CIVIL DE MINAS							
							
CARRERA:	INGENIERIA CIVIL MINAS						
							
							
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO. DE BIB	Prestamos 0	
Tronadura 	401	Manual de perforación y voladura de rocas. Instituto Geológico y Minero de España [1987]. 622.23 M294	OBLIGATORIA	5c	203		
Tronadura 	401	Técnicas eficientes para tronaduras. Versión [1995]. 622.23 V563	OBLIGATORIA	2c	864	0	
Tronadura 	401	Seguridad en uso de explosivos. Abarca Huerta, Héctor [1973]. T UTE IE-MI N A118s	COMPLEMENTARIA	2c	6027	0	
Tronadura 	401	Explosivos y tronaduras. Chávez Gavilán, Walterio [1994]. 662.2 Ch512	COMPLEMENTARIA	4c	9	0	
Tronadura 	401	Explosives and rock blasting . Atlas Powder Company [1987]. 622.23 E96	COMPLEMENTARIA	1c	1021		
Tronadura 	401	Cartilla de instrucciones de aspectos reglamentarios referidos a consumidores habituales de explosivos y polvorines. Chile. Dirección general de Movilización Nacional [1984]. 662.625 Ch537	COMPLEMENTARIA	1c	753		
Tronadura 	401	Tronadura controlada aplicada a mina a cielo abierto Minera Escondida. Carrizo Craig, Juan [1992]. T UDA-FI IE-MI N C318	COMPLEMENTARIA	1c	6694		
Tronadura 	401	Selección de alternativas de almacenamiento y distribución de explosivos Mina subterránea de Mantos Blanco. Sepúlveda Ceroni, Sergio [1987]. T UDA-FI IC-MI NS479	COMPLEMENTARIA	1c	5990	0	
Tronadura 	401	Control de vibraciones y criterios de daño para estabilidad de talud en Compañía Minera Cerro Colorado. Abarca Flores, Cristian [1999]. T UDA-FI IC-MI N A118c	COMPLEMENTARIA	1c	13538	0	
Tronadura 	401	Optimización tronadura controlada en Compañía Minera Cerro Colorado. Mercado Zamorano, Leonardo [1996]. T UDA-FI IC-MI N M553	COMPLEMENTARIA	1c	9578	0	
Tronadura 	401	Estudio de optimización a los aceros de perforación y rendimiento de diagramas de disparo para el avance horizontal. Lobos López, Alex [1999]. T UDA-FI IE-MI N L799	COMPLEMENTARIA	1c	1281	0	
Tronadura 	401	Relación de parámetros de perforación y rendimientos de planta concentradora Minera Candelaria. Moraga Cordero, Alejandro [2003]. M 6222 O51 2003	COMPLEMENTARIA	1c	17815	0	
Tronadura 	401	Sistemas de explotación y extracción de yodo y evaluación de malla de perforación y tronadura en caliche. Montealegre Ubillo, Adrian [1998]. T UDA-FI IC-MI N M772	COMPLEMENTARIA	1c	2199	0	
Tronadura 	401	Validación de nuevos diagramas de disparos de un modelo de gestión y mejoramiento continuo en faena el Peñón. Bustos Choppelo, Leopoldo [2003]. M 622 B982 2003	COMPLEMENTARIA	1c	17729	0	
Inglés II 	401	Cambridge English Skills Real Listening and Speaking 1, 2, 3   by Sally Logan	NO INDICA	0			
Inglés II 	401	English Grammar in Use Book with Answers and Interactive eBook by Raymond Murphy	NO INDICA	0			
Inglés II 	401	English vocabulary in Use Upper- intermediate by Michael McCarthy	NO INDICA	0			
Gestión Ambiental 	402	Kiely Gerard, “Ingeniería ambiental: fundamentos, entornos, tecnologías y sistemas de gestión”, Madrid: McGraw-Hill, 1999, 1331p. Ubicación: Biblioteca Central de la Universidad de Atacama.	NO INDICA	0			
Gestión Ambiental 	402	Conesa Fernández-Vítora, Vicente, “Instrumentos de Gestión Ambiental en la Empresa”, Madrid Mundi Prensa, 1997, 541p. Ubicación: Biblioteca Central de la Universidad de Atacama.	NO INDICA	2c	9862	0	
Gestión Ambiental 	402	Gómez Orea Domingo Gómez y Oñate Miguel, “Auditoría Ambiental: un Instrumento de Gestión en la Empresa”, Madrid Agrícolas Española S.A., 1994, 142p. Ubicación: Biblioteca Central de la Universidad de Atacama.	NO INDICA	2c	2556	0	
Gestión Ambiental 	402	Harry M. Freeman, “Manual de Prevención de la Contaminación Industrial”, México: McGrawHill, 1998 943p.	NO INDICA	2c	11006	0	
Gestión Ambiental 	402	Lagrega Michael D., Buckingham Phillip L. and Evans Jeffrey C., “Gestión de Residuos Tóxicos: Tratamiento, eliminación y recuperación de suelos”. McGraw Hill, 1996, 2V 1316p.	NO INDICA	2c	11545	0	
Gestión Ambiental 	402	Conesa Fernández, Vicente, “Guía Metodológica para la Evaluación del Impacto Ambiental”, Madrid Ediciones Mundi Prensa, 1997, 412p.	NO INDICA	1c	15132	0	
Gestión Ambiental 	402	Coronado Maldonado Margarito y Oropeza Monterrubio Rafael, “Manual de Prevención y Minimización de la Contaminación Industrial”, Panorama Editorial, 1998, 183p.	NO INDICA	1c	15130	0	
Gestión Ambiental 	402	Chile. Ministerio de Economía, “Manual de Auditoría en Producción Limpia”, Santiago, Chile: Alfabeta, 1998, 175 p. Ubicación: Biblioteca Central de la Universidad de Atacama.	NO INDICA	3c	13715	0	
Gestión Ambiental 	402	Jordán Barahona, José Manuel (1992). Evaluación del impacto ambiental E.I.A. Valparaíso: Artes Gráficas Diego.	NO INDICA	0			
Gestión Ambiental 	402	Valls, Mario (1992). Derecho ambiental. Buenos Aires: Abeledo-Perrot.	NO INDICA	0			
Administración de Empresas 	402	Administración, 10ma Edición – Stephen P. Robbins & Mary Coulter.	NO INDICA	1c	27470		12a
Administración de Empresas 	402	Administración Contemporánea, 4ta Edición – Gareth R. Jones y Jennifer M. George.	NO INDICA	5c	24714		6a
Administración de Empresas 	402	Elementos de administración: Un enfoque internacional, 7ma Edición – Harold Koontz y Heinz Weihrich.	NO INDICA	10c	27178		
Administración de Empresas 	402	Administración: Una Perspectiva Global, 11va Edición – Harold Koontz & Heinz Weihrich.	NO INDICA	1c 4c	13007-21564		12a-13a
Administración de Empresas 	402	Introducción a la Administración, 4ta Edición – Sergio Hernández y Rodriguez.	NO INDICA	2c	1558		
Administración de Empresas 	402	Administración: Teoría, proceso y práctica, 3ra Edición – Idalberto Chiavenato.	NO INDICA	3c	22677	0	
Programación y Algoritmo 	402	JOYANES A., Luis, “Fundamentos de Programación. Algoritmos y Estructura de Datos”, 2ª Edición, McGraw-Hill / interamericana de España, Madrid, 1996.	NO INDICA	60c	18208		ed.2003
Programación y Algoritmo 	402	JOYANES A., Luis, “Problemas de Metodología de la Programación”, 1ª Edición, McGrawHill/ interamericana de España, Madrid, 1990.	NO INDICA	60c	7849		
Ventilación de Minas 	402	Yañez Garín, E. (1994), Ventilación de Minas, SERNAGEOMIN	OBLIGATORIA	6c	185		
Ventilación de Minas 	402	Hartman, H.  (Ed) (1982), Proceeding of the mine ventilation symposium, SME of AIME.	OBLIGATORIA	1c	745	0	
Ventilación de Minas 	402	ADS Gillies (Ed) (1988), Proceeding international mine ventilation congress, AIMM	OBLIGATORIA	1c	679		
Ventilación de Minas 	402	Superintendencia Planificación e Ingeniería (Ed) (1994), Curso de ventilación de minas para supervisores: revisión 2, División el Teniente de Codelco Chile.	OBLIGATORIA	2c	3927	0	
Ventilación de Minas 	402	Olivares Massardo, L. (1998), Apunte básico para asignatura de control de ambiente minero, Universidad de Atacama	OBLIGATORIA	3c	9874		
Ventilación de Minas 	402	González Ruiz, C. & Muñoz Castro, N. (2016), Tesis Proyecto de ventilación sectores Helena Sur y Meléndez Central, Mina Santos, Universidad de Atacama.	COMPLEMENTARIA	1c	25793		
Ventilación de Minas 	402	Donoso Figueroa P. & Muñoz Castro, N. (2015), Tesis Ventilación Auxiliar en desarrollo Rampa 27/54 de extracción, Universidad de Atacama.	COMPLEMENTARIA	3c	25798	0	
Ventilación de Minas 	402	Valencia Pérez, C. & Olmos Naranjo, H. (2013), Tesis Ventilación corto, mediano y largo plazo mina subterráneaDivisión Salvador, Universidad de Atacama.	COMPLEMENTARIA	1c	25601		
Ventilación de Minas 	402	Collao Vega, E. & Santibañez Castro, E (2011), Tesis Estudio económico de la automatización de ventilación secundaria Codelco Chile - División Salvador, Universidad de Atacama.	COMPLEMENTARIA	1c	23773	0	
Ventilación de Minas 	402	Aguirre Sarria, C. & Olmos Naranjo, H. (2011), Tesis Simulación de la ventilación mina subterránea Inca El Salvador con software ventsim visual 2.0, Universidad de Atacama.	COMPLEMENTARIA	1c	23758		
Administración del Control de Pérdidas 	402	Bird, F. E. & Fernández, F. E. (1981).  Administración del Control de Pérdidas. Consejo Interamericano de Seguridad. 2ª. ed.	OBLIGATORIA	7c	791	0	
Administración del Control de Pérdidas 	402	Handley, W. (Ed) (1980). Manual de Seguridad Industrial. McGraw-Hill.	OBLIGATORIA	6c	2395	0	
Administración del Control de Pérdidas 	402	Peralta, A. (-). Curso de Seguridad Industrial. Universidad Técnica del Estado.	OBLIGATORIA	1c	479	0	
Administración del Control de Pérdidas 	402	Aguirre Cortés, E., Nick Carvajal, J. & Godoy Galleguillos, R. (2014), Tesis procesamientos y estándares de gestión en control de seguridad en minería subterránea, Universidad de Atacama.	COMPLEMENTARIA	1c	25616	0	
Administración del Control de Pérdidas 	402	Quinteros Estrada, S. & Godoy Galleguillos, R. (2011), Implementación de un plan de manejo de residuos peligrosos basado en el reglamento sanitario sobre manejo de residuos peligrosos. Universidad de Atacama.	COMPLEMENTARIA	2c	23793	0	
Administración del Control de Pérdidas 	402	Chávez  Cayo, J. & Godoy Galleguillos, R. (2005), Tesis implementación de norma OHSAS 18001:1999, ENAEX SA. Planta de servicios mina La Coipa. Universidad de Atacama.	COMPLEMENTARIA	1c	18742		
Inglés III 	402	Cambridge English Skills Real Listening and Speaking 1, 2, 3   by Sally Logan	NO INDICA	0			
Inglés III 	402	English Grammar in Use Book with Answers and Interactive eBook by Raymond Murphy	NO INDICA	0			
Inglés III 	402	English vocabulary in Use Upper- intermediate by Michael McCarthy	NO INDICA	0			
Preparación y Evaluación de Proyectos 	501	Arteaga, R. et. al. (1997). Manual de Evaluación Técnico Económica de Proyectos Mineros de Inversión. Instituto Tecnológico Geominero  de España	NO INDICA	4c	1429		
Preparación y Evaluación de Proyectos 	501	Millán, A. (1996). Evaluación y factibilidad de proyectos mineros. Ed. Universitaria	NO INDICA	13c	7324		
Preparación y Evaluación de Proyectos 	501	Bustillo, M. & López, C. (1997). Manual de Evaluación y Diseño de Explotaciones Mineras. Ed. Mostoles.	NO INDICA	4c	9888		
Preparación y Evaluación de Proyectos 	501	Bustillo, M. & López, C. (1996). Recursos Minerales: Tipología, prospección, evaluación, explotación, mineralurgia, impacto ambiental. Ed. Mostoles.	NO INDICA	3c	9850		
Preparación y Evaluación de Proyectos 	501	Hoskins, J. & Green, W. (Eds) (1978). Mineral Industry Costs. Ed. Northwest Mining Association, Washington.	NO INDICA	0			
Preparación y Evaluación de Proyectos 	501	Copeland, T.,  Fred Weston, J. & Shastry, K. (2005).  Financial Theory and Corporate Policy. Ed. Addison-Wesley Publishing Company	NO INDICA	0			
Preparación y Evaluación de Proyectos 	501	Finnerty, J. (1998). Financiamiento de Proyectos. Editorial Prentice Hall	NO INDICA	0			
Geología y Exploración de Depósitos Minerales 	501	Bustillo Revuelta, M. & López Jimeno, C., 1996. Recursos Minerales. Topología,	OBLIGATORIA	3c	9850		
Geología y Exploración de Depósitos Minerales 	501	Prospección, Evaluación, Explotación, Mineralurgia, Impacto Ambiental. Mostoles (Madrid).	OBLIGATORIA	0			
Geología y Exploración de Depósitos Minerales 	501	Chuvieco, E., 1995. Fundamentos de Teledetección Espacial. Ediciones RIALP, 2ª Edición (Madrid).	OBLIGATORIA	1c	2972		
Geología y Exploración de Depósitos Minerales 	501	Dobrin, M.B. &Savit, C.H., 1988. Introduction to Geophysical Prospecting. 4 ed., 867p; McGraw-Hill.	OBLIGATORIA	1c	9077	0	
Geología y Exploración de Depósitos Minerales 	501	Evans, A.M., 1980. An Introduction to Ore Geology.- Geoscience Texts, Vol. 2: 231 p., 130 Fig.; Blackwell Scientific Publications, Oxford.	OBLIGATORIA	0			
Geología y Exploración de Depósitos Minerales 	501	Frutos, J., Oyarzún, R. &Pincheira, M., 1985.Geología y recursos minerales de Chile. Tomo I y II.	OBLIGATORIA	4c	2201		
Geología y Exploración de Depósitos Minerales 	501	Hartman, H.L. (ed.) 1992. SME Mining Engineering Handbook. 2.Edition, Vol.1; SME Portcity Press (USA).	OBLIGATORIA	2c	373		
Geología y Exploración de Depósitos Minerales 	501	Orche, E., 2001. Manual de Geología e Investigación de Yacimientos Minerales. Madrid.	OBLIGATORIA	1c	21150		
Geología y Exploración de Depósitos Minerales 	501	Peters, W.C., 1987. Exploration and Mining Geology. 685p.; John Wiley & Sons (New York).	OBLIGATORIA	4c	981	0	
Geología y Exploración de Depósitos Minerales 	501	Ellis, D. V., Singer, J.M., 2008. Well logging for Earth Scientists. 2nd th edition, Springer	COMPLEMENTARIA	0			
Geología y Exploración de Depósitos Minerales 	501	Fontboté, L., Amstutz, G.C., Cardozo, M., Cedillo, E. & Frutos, J., 1990. Strata bound Ore Deposits in the Andes. - 815p.; Springer (Berlin).	COMPLEMENTARIA	1c	2661		
Geología y Exploración de Depósitos Minerales 	501	Instituto de Ingenieros de Minas de Chile, 1980. Minería de Cobres Porfídicos. - Anales del congreso cincuentenario, 23-29.Nov.1980, Vol.I, II, III (SCL).	COMPLEMENTARIA	3c	1056	0	
Geología y Exploración de Depósitos Minerales 	501	 P., Brooks, M., Hill, I., 2002. An Introduction to Physical Exploration. Blackwell Science.	COMPLEMENTARIA	0			
Geología y Exploración de Depósitos Minerales 	501	Kertz, W., 1986. Einführung in die Geophysik, Bd.1, Erdkörper. 232p.; B.I.Hochschulbücher, Bd.275.	COMPLEMENTARIA	0			
Geología y Exploración de Depósitos Minerales 	501	Koefoed, O., 1979. Geosounding Principles. Methods in Geochemistry and Geophysics, 14A. ElsevierScientific Publishing Company.	COMPLEMENTARIA	2c	21894	0	
Geología y Exploración de Depósitos Minerales 	501	Legua Olivares, S., 1998. Espectroscopia reflectante aplicada a minerales de alteración en mina “La Coipa”, III Región, Chile. - Memoria, UDA.	COMPLEMENTARIA	1c	12570	0	
Geología y Exploración de Depósitos Minerales 	501	Lewis, R.S. & Clark, E.M., 1967. Elements of mining. – Wiley & Sons, New York.	COMPLEMENTARIA	0			
Geología y Exploración de Depósitos Minerales 	501	Lowell, J.D. & GUILBERT, J.M., 1970. Lateral and Vertical Alteration Mineralization	COMPLEMENTARIA	0			
Geología y Exploración de Depósitos Minerales 	501	Lowrie, W., 2007. Fundamentals of Geophysics. 2nd edition, Cambridge University Press.	COMPLEMENTARIA	0			
Geología y Exploración de Depósitos Minerales 	501	Miguel, L. de, 1980. Geomagnetismo. 3ª ed., 189p., Inst. Geográfico Nacional (Madrid).	COMPLEMENTARIA	1c	9857		
Geología y Exploración de Depósitos Minerales 	501	Mirónov, V.S., 1977. Curso de prospección gravimétrica.  525p., Reverté (Barcelona).	COMPLEMENTARIA	1c	2427	0	
Geología y Exploración de Depósitos Minerales 	501	Orellana, E., 1972. Prospección Geoeléctrica en corriente continua. Paraninfo (Madrid).	COMPLEMENTARIA	2c	2749	0	
Geología y Exploración de Depósitos Minerales 	501	Parasnis, D.S., 1975. Mining Geophysics. In serie: Methods in Geochemistry and Geophysics, 395p.; Elsevier Scientific Publishing Company (Amsterdam, Oxford, New York)	COMPLEMENTARIA	1c	1011	0	
Geología y Exploración de Depósitos Minerales 	501	Rose, A.W. & Burt, D.M., 1979. Hydrothermal Alteration. -In: Barnes, H.L. (ed.): Geochemistry of Hydrothermal Ore Deposits: p. 173-235, 17 Fig.; Wiley & Sons, New York, Chichester, Brisbane, Toronto.	COMPLEMENTARIA	0			
Geología y Exploración de Depósitos Minerales 	501	Sawkins, F.J., 1984. Metal deposits in relation to plate tectonics.- 325 p. Minerals and Rocks No. 17; Springer Verlag, Berlin.	COMPLEMENTARIA	0			
Geología y Exploración de Depósitos Minerales 	501	Seigel, H.O., 1995. A guide to high precision land gravimeter surveys. – 122 ps, Canada (documento en formatopdf).	COMPLEMENTARIA	0			
Geología y Exploración de Depósitos Minerales 	501	Sillitoe, R.H., 1973. The tops and bottoms of Porphyry Copper Deposits.- Econ. Geol., vol. 68, página 799-815.	COMPLEMENTARIA	0			
Geología y Exploración de Depósitos Minerales 	501	Sillitoe, R.H., 1995. Exploration and discovery of base- and precious-metal deposits in the circum-pacific region during the last 25 years. Resource Geol. Spec. Issue No.19: 119p., Soc. of Resource Geol..	COMPLEMENTARIA	0			
Mecánica de Rocas 	501	OBERT, L. and W.I.  DUVALL, “Rock Mechanics and the Design of Structures in Rock”, Mc-Graw-Hill Book Co., New York.	OBLIGATORIA	0			
Mecánica de Rocas 	501	Resistencia de materiales, (1967) Mc-Graw-Hill Book Co., Hoek &Brown (1970) Rocks Mechanics	OBLIGATORIA	0			
Mecánica de Rocas 	501	Hoek &Brown (1970) Rocks Mechanics	OBLIGATORIA	0			
Mecánica de Rocas 	501	LOVE, A.E.H., “The Mathematical Theory of Elasticity”, McGraw-Hill Book Co., New York.	COMPLEMENTARIA	0			
Mecánica de Rocas 	501	DURELLI, A.J., PHILLIPS, E.A., and TSAO, C.H., “Introduction to the Theorical and Experimental Analysis of Stress and Strain”, McGraw-Hill Book Co., New York.	COMPLEMENTARIA	0			
Mecánica de Rocas 	501	TIMOSHENKO, S., and GOODIER, J.N., “Theory of Elasticity”, McGraw-Hill Book Co., New York.	COMPLEMENTARIA	0			
Mecánica de Rocas 	501	DEGREE, D.V., MILLER, R.O., “Engineering classification and index properties for intact rock”.	COMPLEMENTARIA	0			
Geoestadística 	501	Kennedy J. & Neville, A. (1982). Estadística para ciencias e ingeniería. Haroer & Row Publishers, México.	OBLIGATORIA	0			
Geoestadística 	501	Emery, X.(2000). Geostadística lineal. Universidad de Chile	OBLIGATORIA	1c	17218		
Geoestadística 	501	Journel, A.  &  Huijbregts, Ch. (1978) Mining geostatistics. Academic Press	COMPLEMENTARIA	0			
Geoestadística 	501	Chiles, J. & Delfiner, P. (2012) Geostatistics: Modeling Spatial Uncertainty. WILEY Series in Probability and Statistics	COMPLEMENTARIA	0			
Geoestadística 	501	Isaaks E. & Srivastava R. (1989). An Introduction to applied geostatistics. Oxford University Press	COMPLEMENTARIA	1c	2794		
Geoestadística 	501	Henríquez, E. & Navea, J. (1998). Modelamiento de estimación de reservas para corto plazo SCM El Abra. Universidad de Atacama	COMPLEMENTARIA	2c	10718	0	
Geoestadística 	501	Vilches, R. & Navea, J. (2014). Estimación geoestadística de leyes para la planificación de corto y mediano plazo Mina Los Colorados. Universidad de Atacama	COMPLEMENTARIA	1c	25594		
Taller de Liderazgo y Ética	501	Benavides E.M. (2004) Relationship of Situational Leadership to Organizational Commitment. Proceedings Of the International Journal of Industrial Engineering. Applications and Practice. Las Vegas NV. USA.	COMPLEMENTARIA	0			
Taller de Liderazgo y Ética	501	Carrier K. (2001). Situational Leadership: Recognizing Differences. National League of Cities. Vol. 24, 5.	COMPLEMENTARIA	0			
Taller de Liderazgo y Ética	501	Shamir B. (2001). Charismatic Leadership in Organizations. Journal of Occupational and Organizational Psychology. Vol. 74, 112-114.	COMPLEMENTARIA	0			
Electivo I 	501						
Planificación Minera Cielo Abierto 	502	Hartman, H. L., (1992), SME Mining Engineering Handbook, AIME 2º Edición, vol 2.	OBLIGATORIA	2c	373		
Planificación Minera Cielo Abierto 	502	Hustrulid, W. A. & Kuchta, M., (2013), Open Pit Mine Planning and Design, 2º Edition, Taylor & Francis.	OBLIGATORIA	2c	997		
Planificación Minera Cielo Abierto 	502	Kennedy B.A., (1990), Surface Mining 2º Edition,Society for Mining, Metallurgy, and Exploration.	OBLIGATORIA	1c	987		
Planificación Minera Cielo Abierto 	502	Lane Kenneth, (1988)The economic definition of ore: cut off grades in theory and practique, Mining Journal Books	OBLIGATORIA	1c	1212	0	
Planificación Minera Cielo Abierto 	502	Norambuena M. y Santibañez E., (2013), Proyecto minero a cielo abierto “Cecilia II” de la pequeña minería, Universidad de Atacama.	COMPLEMENTARIA	1c	26123	0	
Planificación Minera Cielo Abierto 	502	Espinoza J. y Olmos H., (2013), Desarrollo de proyectos mineros a cielo abierto en interacción con cavidades subterráneas, mina Franke, Universidad de Atacama	COMPLEMENTARIA	1c	24985	0	
Planificación Minera Cielo Abierto 	502	Latorre A., Carvajal K. y Riffo V. (2008), Aplicación informática de poyo para el análisis operacional de las parees finales en minas a cielo abierto, utilizando procesamiento de imágenes. Universidad de Atacama.	COMPLEMENTARIA	1c	22410	0	
Planificación Minera Cielo Abierto 	502	Cisternas V. y Olmos H., (2004), Diseño geomecánico en minería a cielo abierto. Universidad de Atacama.	COMPLEMENTARIA	1c	17903	0	
Planificación Minera Cielo Abierto 	502	Olivares V. y Latorre E. (2004), Determinación de taludes en explotación a rajo abierto de la mina Mantoruo en faena Mantoverde. Universidad de Atacama	COMPLEMENTARIA	1c	18474	0	
Planificación Minera Cielo Abierto 	502	Valenzuela R. y Fribla M. (1995), Parametrización esquema de explotación banco cerrado rampa continua Mina Chuquicamata. Universidad de Atacama.	COMPLEMENTARIA	1c	6643	0	
Planificación Minera Subterránea 	502	Howard L. Hartman, (1992) SME Mining Engineering Handbook, AIME 2º Edición	OBLIGATORIA	2c	373		
Planificación Minera Subterránea 	502	Darling, P. (2011). SME Mining Engineering Handbook. AIME 3º Edición	OBLIGATORIA	8c	26563		
Planificación Minera Subterránea 	502	Hustrulid, William A._ Bullock, Richard L. (Eds.) (2001) -Underground Mining Methods - Engineering Fundamentals and International Case Studies-Society for Mining,Metallurgy, and Exploration  (SME), EEUU.	OBLIGATORIA	3c	26548		
Planificación Minera Subterránea 	502	Villaescusa Ernesto,  (2014), Geotechnical design for open stoping, Taylor & Francis Group.	OBLIGATORIA	4c	25763		
Planificación Minera Subterránea 	502	Lane Kenneth, (1988)The economic definition of ore: cut off grades in theory and practique, Mining Journal Books	OBLIGATORIA	1c	1212	0	
Planificación Minera Subterránea 	502	Fernberg Hans, (2007), Mining Methods in Underground Mining Atlas Copco, Atlas Copco	COMPLEMENTARIA	0			
Excavaciones Mineras 	502	Evert Hoek (1980) Practical rock engineering	OBLIGATORIA	0			
Excavaciones Mineras 	502	Methods of geologycal engineering in discontinous rocks (1976) Richard Good	OBLIGATORIA	0			
Excavaciones Mineras 	502	Block theory and its application to rock engineering (1985) Richard Goodman	OBLIGATORIA	0			
Excavaciones Mineras 	502	Mecánica de rocas, Fundamento en ingeniería de taludes (2004), Pedro Ramírez	OBLIGATORIA	0			
Excavaciones Mineras 	502	Problemas de Mecánica de rocas. Fundamentos e Ingeniería de taludes (2005)	OBLIGATORIA	0			
Excavaciones Mineras 	502	Guía de ccriterios geomecánicos para diseño, construcción, supervisión y cierre de labores subterráneas (2017)	COMPLEMENTARIA	0			
Excavaciones Mineras 	502	Rock mass classification and support design (2015) NGI	COMPLEMENTARIA	0			
Preparación Mecánica y Concentración de Minerales 	502	Pavez Miqueles, Osvaldo, Muestreo y control de calidad, Copiapó: Universidad de Atacama	OBLIGATORIA	3c	157	0	
Preparación Mecánica y Concentración de Minerales 	502	Santander, Mario, Apuntes Curso Preparación Mecánica de Minerales I, Departamento de Metalurgia, Universidad de Atacama, 2004	OBLIGATORIA	0			
Preparación Mecánica y Concentración de Minerales 	502	Wills, B.A. Tecnología de Procesamiento de Minerales, Editorial Limusa, 1	OBLIGATORIA	2c	1530		
Preparación Mecánica y Concentración de Minerales 	502	Pavez Miqueles, Osvaldo, Optimización de chancado y molienda Copiapó: Universidad de Atacama	OBLIGATORIA	20c	95		
Preparación Mecánica y Concentración de Minerales 	502	Astorga, Flores y Ángel. Molienda, Clasificación y Flotación para operadores Copiapó: Universidad de Atacama	OBLIGATORIA	6c	217	0	
Preparación Mecánica y Concentración de Minerales 	502	Currie, john M. Unit operations in mineral processing, Burnaby British Columbia, 1973	COMPLEMENTARIA	9c	94	0	
Preparación Mecánica y Concentración de Minerales 	502	Kelly, E.G. y Spottiswood, D.J. Introduction to mineral Procesing, John Wiley Sons, USA, 1982, 491p.	COMPLEMENTARIA	1c	127	0	
Preparación Mecánica y Concentración de Minerales 	502	Sutulov, A. Flotación de minerales, Editado por Universidad de Concepción 1963.	COMPLEMENTARIA	2c	1217		
Preparación Mecánica y Concentración de Minerales 	502	Habashi, Fathi, Textbook of Hydrometallurgy, 2 nd Edition, Quebec, Edit. Metallurgy Extractive 1999	COMPLEMENTARIA	1c	8936		ed 1993
Preparación Mecánica y Concentración de Minerales 	502	Esteban Domic, Hidrometalurgia, fundamentos, procesos y aplicaciones, 2001.	COMPLEMENTARIA	1c	17705		
Preparación Mecánica y Concentración de Minerales 	502	Arenas Fuentes, Alonso, Hidrometalurgia del Cobre, 1985.	COMPLEMENTARIA	5c	377		
Preparación Mecánica y Concentración de Minerales 	502	Cáceres Arenas, Germán, Hidrometalurgia y electrometalurgia, Copiapó: Universidad de Atacama, 2000	COMPLEMENTARIA	3c	14501		
Preparación Mecánica y Concentración de Minerales 	502	Vergara Parra, Carlos, Fusión de concentrados de cobre, Antofagasta: Universidad del Norte, 1992	COMPLEMENTARIA	3c	9414	0	
Preparación Mecánica y Concentración de Minerales 	502	Bockris and Reddy. “Electroquímica Moderna”. Vol. I y II. Ed. Revervete. 1980	COMPLEMENTARIA	2c	17810		
Preparación Mecánica y Concentración de Minerales 	502	Frank Walsh, Un primer curso de ingeniería electroquímica	COMPLEMENTARIA	0			
Preparación Mecánica y Concentración de Minerales 	502	Adicionalmente se empleará material bibliográfico extraído de publicaciones periódicas a ser señaladas por el profesor.	COMPLEMENTARIA	0			
Gestión de Proyectos Mineros 	502	Project Management Institute (2013). Guía de los Fundamentos para la Dirección de Proyectos, 5º Edición. Project Management Institute Inc. - EE-UU. 	OBLIGATORIA	1c	734	0	
Gestión de Proyectos Mineros 	502	Ajenjo, A. D., (2005), Dirección y Gestión de Proyectos, Alfaomega.	OBLIGATORIA	6c	22010	0	
Gestión de Proyectos Mineros 	502	Briceño P., (2006), Administración y Dirección Estratégica de Proyectos, Editorial Duran San Martín.	OBLIGATORIA	37c	18918		
Gestión de Proyectos Mineros 	502	Ahuja and Walsh, (1989), Ingeniería de Costos y Administración de Proyectos, Alfaomega.	OBLIGATORIA	2c	549		
Gestión de Proyectos Mineros 	502	Hartman, H. L., (1992), SME Mining Engineering Handbook, AIME 2º Edición, vol 2.	COMPLEMENTARIA	2c	373		
Gestión de Proyectos Mineros 	502	Chase, R., Robert Jacobs, F. and Aquilano N. J., (2005), Administración de la Producción y Operaciones, Mc Graw Hill.	COMPLEMENTARIA	33c	18639		
Gestión de Proyectos Mineros 	502	Taha, H. A., (2004), Investigación de Operaciones, Pearson.	COMPLEMENTARIA	64c	18162		
Gestión de Proyectos Mineros 	502	González López, L., (2001), Satisfacción y Motivación en el Trabajo, Editorial Díaz de Santos.	COMPLEMENTARIA	3c	22663		
Gestión de Proyectos Mineros 	502	Huerta, J. J. y Rodríguez, G., (2006), Desarrollo de Habilidades Directivas, Pearson.	COMPLEMENTARIA	4c	16809	0	
Electivo II 	502						
Proyecto Minero Cielo Abierto 	601	Hartman, H. L., (1992), SME Mining Engineering Handbook, AIME 2º Edición, vol 2.	OBLIGATORIA	2c	373		
Proyecto Minero Cielo Abierto 	601	Hustrulid, W. A. & Kuchta, M., (2006), Open Pit Mine Planning and Design, 2º Edition, Taylor & Francis.	OBLIGATORIA	7c	25326		ed.2013
Proyecto Minero Cielo Abierto 	601	Kennedy B.A., (1990), Surface Mining 2º Edition,Society for Mining, Metallurgy, and Exploration.	OBLIGATORIA	1c	987		
Proyecto Minero Cielo Abierto 	601	Mine and Mill Equipment Cost: an estimator's guide. (1999), Wester Mine Engineering Inc.	COMPLEMENTARIA	2c	2224		ed1993
Proyecto Minero Cielo Abierto 	601	Runge, I. C. (1998). Mining economics and strategy. SME.	COMPLEMENTARIA	1c	12675	0	
