14260			26524
9423			11673
1660			12054
2084			25077
15428			2134
22480			26349
26357			5306
2104			15741
21306			26231
3349			21042
26353			25762
21319			18545
2086			24853
24947			18875
23918			25871
26230			26532
5129			25358
23872			27826
23933			27827
5396			11398
25332			11416
23827			26902
26225			25093
26527			
8549			
23922			
21402			
5192			
24637			
24918			
21566			
26228			
20945			
23816			
28113			
22554			
26533			
23840			
25376			
3425			
25325			
12189			
24539			
24540			
24542			
25327			
21430			
23921			
26208			
21053			
2062			
26531			
23831			
27390			
27410			
23923			
22013			
21303			
1639			
23932			
5305			
25335			
23839			
25088			
23099			
25910			
27391			
25349			
