RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)				
				
				
				
Tipo de Bibliografía	Titulos consignados	Titulos Disponibles en Btca.	% de cobertura	
COMPLEMENTARIA	19	11	57.8947368421053	
NO INDICA	179	125	69.8324022346369	
OBLIGATORIA	16	12	75	
Total general	260	210	80.7692307692308	
				
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA 				
				
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	ANTIDAD DE OPIAS DISPONIBLES EN BIBLIOTEA 
Matemática 	101	Baldor,J.A.(1968) Álgebra elemental. Editorial mediterránea, Madrid.	NO INDICA	0
Introducción a la Especialidad	101	Grech M., Pablo. Introducción a la Ingeniería: un enfoque a través del diseño. Segunda edición, Pearson Education 2013.	NO INDICA	0
Introducción a la Especialidad	101	Shaw, Milton. Engineering problem solving. Noyes Publications, New Cork. 2001.	NO INDICA	0
Inglés I	101	1. Alexander, L.G. (1990) Longman English Grammar Practice. Longman	COMPLEMENTARIA	0
Cálculo I	102	Cálculo en una Variable, George Thomas Jr., Editorial Pearson, ISBN 970-26-0643-8.	NO INDICA	0
Álgebra II	102	George Nakos, Álgebra Lineal y sus aplicaciones.	NO INDICA	0
Base de Datos	102	Mendelzon, Ale, “Introducción a las Bases de Datos Relacionales”, 1ª Edición, Editorial Pearson Educación,  2000.	NO INDICA	0
Inglés II	102	Alexander, L.G. (1990) Longman English Grammar Practice. Longman	COMPLEMENTARIA	0
Cálculo II	201	Cálculo I, Larson-Hostetler-Edwards. Mc Graw Hill. Vol. 1.	OBLIGATORIA	0
Lenguaje de Programación II	201	Javier Garcia de Jalón. Aprenda java como si estuviera en primero, 2000.	NO INDICA	0
Estructura de Datos	201	 JOYANES, Luis, ZAHONERO, Ignacio, “Estructura de Datos”, Tercera Edición, Editorial Mc Graw-Hill, 1998.	NO INDICA	0
Estructura de Datos	201	Horowitz, E., Sahni, S., Mehta, D., “Fundamentals of data structures in C++”, Computer Science Press, Segunda Edición, 2007.	NO INDICA	0
Estructura de Datos	201	Drozdek, A., “Data Structures and Algorithms in C++”, Brooks/Cole Thomson Learning, Tercera Edición, 2005.	NO INDICA	0
Estructura de Datos	201	Hubbard, J., “Data Structures with C++ (Schaum’s Outline Series)”,  McGraw-Hill, 2000.	NO INDICA	0
Estructura de Datos	201	Lafore, R., “Object-Oriented Programming in C++”, Sams Publisher, 2002.	NO INDICA	0
Cálculo III	202	James Stewart. Cálculo Multivariable. Thompson editores.	COMPLEMENTARIA	0
Inglés IV	202	Alexander, L.G. (1990) Longman English Grammar Practice. Longman	COMPLEMENTARIA	0
Termodinámica	202	Mark Zemansky, “ Fisico-Química”  Editorial La Colina, Madrid, 1984.	NO INDICA	0
Ecuaciones Diferenciales y Álgebra Lineal	301	Ecuaciones Diferenciales, V. Guíñez, R. Labarca y M. Martínez. Facultad de Ciencias. Usach.	NO INDICA	0
Sistemas de Información I 	301	Alfredo Weitzenfeld, “Ingeniería de Software orientada a objetos Con UML, Java e Internet”, Editorial  Thomsom, 2005.	NO INDICA	0
Resistencia de Materiales	302	Ferdinand P. Beer, “Mecánica de Materiales” 5ᵃ Edición, Editorial MC Graw Hill, 2000.	NO INDICA	0
Sistemas de Información II 	302	Larman, Craig. UML y patrones: una introducción al análisis y diseño orientado a objetos y al proceso unificado. 2a.ed.-- Madrid: Pearson Educación, c2003. XXV, 624 páginas. Booch, Grady; Rumbaugh, James; Jacobson, Ivar.	NO INDICA	0
Arquitectura de Sistemas Digitales de Control	302	"Monk, Simon; “30 arduino projects for the evil genius"", Editorial McGraw-Hill Professional, 2013."	OBLIGATORIA	0
Arquitectura de Sistemas Digitales de Control	302	Blum, Jeremy; “Exploring Arduino Tools and Techniques for Engineering Wizardry”, , Editorial Wiley, 2013.	OBLIGATORIA	0
Arquitectura de Sistemas Digitales de Control	302	 Castaño, Juan; González, Felipe; “Curso Practico de  Microcontroladores”, Editorial CEKIT, 2002.	OBLIGATORIA	0
Arquitectura de Sistemas Digitales de Control	302	"José Ma. Angulo Usategui, Susana Romero Yesa, Ignacio Angulo Martínez. ""Microbótica"", Madrid, Paraninfo, 2000."	COMPLEMENTARIA	0
Arquitectura de Sistemas Digitales de Control	302	"José María Angulo Usategu, ""Microcontroladores PIC: diseño práctico de aplicaciones"", McGraw-Hill, 1997"	COMPLEMENTARIA	0
