BIBLIOGRAFIA INGENIERIA CIVIL INDUSTRIAL						
						
						
						
CARRERA:	INGENIERIA CIVIL INDUSTRIAL					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	NRO DE BIB# 	Prestamos 0
INVESTIGACION OPERATIVA	301	· Mathur, Kamlesh; Solow, Daniel. Investigación de Operaciones. Prentice Hall Hispanoamericana México. 1996. 658.4034 M432.	NO INDICA	2	11304	
MECANICA DE FLUIDOS I	301	1. Mott Robert L., Mecánica de Fluidos Aplicada, Prentice-Hall Hispanoamericana, S.A., México.	NO INDICA	7	21832	
MECANICA DE FLUIDOS I	301	2. Shames Irving H., Mecánica de Fluidos, McGraw-Hill, 3ª Edición, Colombia.	NO INDICA	7	24465	0
MECANICA DE FLUIDOS I	301	3. Ocon y Tojo, Problemas de Ingeniería Química, Ed. Aguilar, España.	NO INDICA	2	783	0
MECANICA DE FLUIDOS I	301	4. Gaskell David R., An introduction to Transport Phenomena in Materials Engineering, Macmillan Publishing Company, E.E.U.U., 1992.	NO INDICA	16	3050	
MECANICA DE FLUIDOS I	301	5. Vega B. Rolando, Transporte Hidráulico de Sólidos, Apuntes Curso Departamento de Capacitación, Universidad de Atacama.	NO INDICA	31	2866	0
MICROECONOMÌA	302	- Larroulet Vignau, Cristián(1996): Economía. Madrid :McGraw-Hill. ISBN : 84-481-1718-2. Ubicación biblioteca: 330 L334.	NO INDICA	64	8547-18209	
MICROECONOMÌA	302	- Paul Samuelson (1987): Economía. 12ª edición. Madrid: McGraw Hill.Ubicación biblioteca: 330 S193e.	NO INDICA	17	1445-14434	
MICROECONOMÌA	302	- Michael Parkin(2004): Economía. Sexta edición. México: Pearson Educación. ISBN 970-26-0443-5.	NO INDICA	0		
MICROECONOMÌA	302	- Robert S., Daniel L. Y Victor A.(2000): Microeconomía. Primera edición. Buenos Aires: Prentice –Hall. ISBN 987 9660-12-X	NO INDICA	10	21814	
MICROECONOMÌA	302	- O´Sullivan, A.; Sheeffrin, S. M.(2004): Economía. Principios e Instrumentos. Tercera Edición. Madrid: Pearson Educación. ISBN 84-205-3909-0.	NO INDICA	12	18917	
PROCESOS EXTRÁCTIVOS Y NUEVAS TECNOLOGÍAS	302	1. Gutierrez, L., Sepúlveda, J. 1986. Dimensionamiento y Optimización de Plantas Concentradoras mediante Técnicas de Modelación Matemática. Editado por CIMM, 302 p. (Ubicación : Biblioteca Central de la UDA).	NO INDICA	4	132	
PROCESOS EXTRÁCTIVOS Y NUEVAS TECNOLOGÍAS	302	2. Wills, B.A. 1987. Tecnología de Procesamiento de Minerales. Editorial Limusa, 1ª ed., 568 p. (Ubicación : Biblioteca Central de la UDA).	NO INDICA	2	1530	
PROCESOS EXTRÁCTIVOS Y NUEVAS TECNOLOGÍAS	302	3. Kelly, R.G., Spottiswood, D.J. 1982. Introduction to Minerals Processing. John Wiley & Sons, USA, 491 p. (Ubicación : Biblioteca Central de la UDA).	NO INDICA	1	127	0
PROCESOS EXTRÁCTIVOS Y NUEVAS TECNOLOGÍAS	302	6. Rosenqvist, T. 1974. Principles of Extractive Metallurgy. Mc Graw-Hill Inc., USA, 546 p. (Ubicación : Biblioteca Central de la UDA).	NO INDICA	2	9036	0
PROCESOS EXTRÁCTIVOS Y NUEVAS TECNOLOGÍAS	302	7. Habashi, F. 1993. Principles of Extractive Metallurgy. Gordon and Breach Science Publishers Inc., USA. V. 3, 479 p. (Ubicación : Biblioteca Central de la UDA).	NO INDICA	7	330	
PROCESOS EXTRÁCTIVOS Y NUEVAS TECNOLOGÍAS	302	8. Anon. 1999. Panorama de la Hidrometalurgia del cobre. Minería Chilena, Nº 218, p. 43-53. (Ubicación : Biblioteca Central de la UDA).	NO INDICA	1	1999	
PROCESOS EXTRÁCTIVOS Y NUEVAS TECNOLOGÍAS	302	9. Cáceres, G., Joly, P. 2000. Hidrometalurgia y Electrometalurgia. Universidad de Atacama. (Ubicación : Biblioteca Central de la UDA).	NO INDICA	9	466-14501-16288-17245	
PROCESOS INDUSTRIALES	302	G.T. Austin, “Manual de Procesos Químicos en la Industria”, Tomos I, II y III, 5ª. Edición, 1ra. edición en español, McGraw-Hill, Colombia, 1988.	NO INDICA	3	11560	
PROCESOS INDUSTRIALES	302	Kirk-Othmer, “Enciclopedia de Tecnología Química”, Uteha, México, 1962.	NO INDICA	15	1019	0
ELECTRONICA	301	- Buban, P., Shimitt, L. (1983). Electricidad y electrónica básica: conceptos y aplicaciones. México: McGraw-Hill. ISBN: 968-451-471-9. Ubicación Biblioteca 537 V	NO INDICA	3	2864	0
ELECTRONICA	301	- Van Valkenburgh. (1971). Electricidad básica. México :Compañía Editorial Continental.	NO INDICA	5	8388	0
ELECTRONICA	301	- Gussow, M. (1996). Fundamentos de electricidad. México :McGraw-Hill. ISBN: 968-	NO INDICA	1	8118	0
ELECTRONICA	301	422-977-1. Ubicación en Biblioteca: 621.3 G967f. 422-977-1. Ubicación en Biblioteca: 621.3 G967f.	NO INDICA	1	8118	0
ELECTRONICA	301	- Gussow, M. (1987). Teoría y problemas de fundamentos de electricidad. México :McGraw- Hill. ISBN: 968-451-600-6. Ubicación Biblioteca 621.3 G967.	NO INDICA	1	1052	
ELECTRONICA	301	- Giessen, D. (1972). Electricidad Practica. Santiago de Chile:Universitaria.	NO INDICA	0		
ELECTRONICA	301	- Schilling, D. (1988). Circuitos electrónicos: discretos e integrados. Barcelona Marcombo. Ubicación Biblioteca 621.38153 S334.	NO INDICA	1	904	0
ELECTRONICA	301	- Stremler, F. (1998). Introducción a los sistemas de comunicación. México:Addison Wesley Longman. ISBN: 968 444 355 2. Ubicación Biblioteca 003.5 S914.	NO INDICA	1	13197	0
INGENIERIA ECONOMICA	302	- Blank, T. L. Tarquin J. A. (1982)- Ingeniería Económica. México: McGRAW-HILL. ISBN 958-600-062-1. Ubicación en biblioteca: 658.152 B642	NO INDICA	14	2076-18636-28743	
INGENIERIA ECONOMICA	302	- DeGarmo, W. Sullivan, J. Bontadelli, E. Wicks, M. (1998). Ingeniería Económica. México :Prentice-Hall. ISBN. 0-13-382193-5. Ubicación en Biblioteca 330.1 I46.	NO INDICA	1	14343	0
INGENIERIA ECONOMICA	302	- Baca, G. (1999). Fundamentos de Ingeniería Económica. México: Mc GRAW-HILL. ISBN 970-10-2465-6.	NO INDICA	10	18637	
ADMINISTRACIÓN DE PERSONAL	401	Administración de Personal, Gary Dessler. 1991. Biblioteca Universidad 658.3 D475	NO INDICA	2	792-10866	
ADMINISTRACIÓN DE PERSONAL	401	- Gestión de RRHH“ Gomez Mejias Luis. 1999. Biblioteca Universidad 658.3 G633	NO INDICA	6	23764	0
ADMINISTRACIÓN DE PERSONAL	401	- Administración de Recursos Humanos, Idalberto Chiavenato.1994. Biblioteca Universidad 658.3 CH532	NO INDICA	5	24716	
ADMINISTRACIÓN DE LA PRODUCCION E INVENTARIO I	402	- Chase/Aquilano/Jacobs. (2001). Dirección y Administración de la Producción y de las Operaciones. Colombia: McGraw - Hill. ISBN 0-256-01919-3. Ubicación Biblioteca Universidad: 658.5 Ch487	NO INDICA	33	18639	
ADMINISTRACIÓN DE LA PRODUCCION E INVENTARIO I	402	- Schroeder, Roger G. (1990) . Administración de operaciones :toma de decisiones en la función de operaciones México: McGraw - Hill ISBN 968-451-367-4. Ubicación Biblioteca Universidad 658.5 S381	NO INDICA	3	462	
COMPORTAMIENTO ORGANIZACIONAL	401	Comportamiento Organizacional, Stephen P. Robbins 1988.Biblioteca Universidad 302.35 R636.co	NO INDICA	70	12596-18662-27169-22552-4769-10810	
COMPORTAMIENTO ORGANIZACIONAL	401	- Organizaciones, Dario Rodríguez.	NO INDICA	0		
COMPORTAMIENTO ORGANIZACIONAL	401	- Las Organizaciones: Comportamiento, Estructura y Proceso, Gibson Ivancevich	NO INDICA	0		
GESTION DE EMPRESAS	402	1. Hill, C; Jones,G “Administración estratégica”, tercera edición, Editorial McGraw Hill, 1996.Ubicación en Biblioteca Central 658.4012h645	NO INDICA	15	10981-18934-18649	
GESTION DE EMPRESAS	402	2. Hax, A.; Majluf, N. ”Gestión de empresas con una visión estratégica”, Cuarta edición, Ediciones Golmen, 1996. Ubicación Biblioteca Central 658.401.h411	NO INDICA	4	1386	0
GESTION DE EMPRESAS	402	3. Van Horne “Administración Financiera”, Décima edición, Editorial Pearson Educación, 1997.Ubicación en Biblioteca Central 658.15v217	NO INDICA	3	10874-2180	
GESTION DE EMPRESAS	402	4. Brealey, Richard : Fundamentos de Financiación Empresarial. Edit. Mc Graw Hill, 1996. Ubicación en Biblioteca Central 658.15b828	NO INDICA	3	744	
GESTION DE EMPRESAS	402	5. Kotler, Philip ”Dirección de marketing”, Editorial Pearson Educación,2001, Ubicación en Biblioteca Central 658.8 K87d,	NO INDICA	1	23548	
GESTION DE EMPRESAS	402	6. Kotler, Philip, “Dirección de mercadotecnia”, 8a.ed, Editorial Pearson, Ubicación en Biblioteca Central 658.802 K87	NO INDICA	22	9219-9729	
GESTION AMBIENTAL	401	2. Kiely Gerard, “Ingeniería ambiental: fundamentos, entornos, tecnologías y sistemas de gestión”, Madrid: McGraw-Hill,1999, 1331p. Ubicación: Biblioteca Central de la Universidad de Atacama.	NO INDICA	0		
GESTION AMBIENTAL	401	3. Conesa Fernández-Vítora, Vicente, “Instrumentos de Gestión Ambiental en la Empresa”, Madrid Mundi Prensa, 1997, 541p. Ubicación: Biblioteca Central de la Universidad de Atacama.	NO INDICA	2	9862	0
GESTION AMBIENTAL	401	4. Gómez Orea Domingo Gómez y Oñate Miguel, “Auditoría Ambiental: un Instrumento de Gestión en la Empresa”, Madrid Agrícolas Española S.A.,1994, 142p. Ubicación: Biblioteca Central de la Universidad de Atacama.	NO INDICA	2	2556	0
GESTION AMBIENTAL	401	5. Harry M. Freeman, “Manual de Prevención de la Contaminación Industrial”, México: McGraw-Hill, 1988, 943p. Ubicación: Biblioteca Central de la Universidad de Atacama.	NO INDICA	2	11006	0
GESTION AMBIENTAL	401	6. Lagrega Michael D., Buckingham Phillip L. and Evans Jeffrey C., “Gestión de Residuos Tóxicos: Tratamiento, eliminación y recuperación de suelos”. McGraw Hill, 1996, 2V 1316p. Ubicación: Biblioteca Central de la Universidad de Atacama.	NO INDICA	2	11545	0
GESTION AMBIENTAL	401	7. Conesa Fernández, Vicente, “Guía Metodológica para la Evaluación del Impacto Ambiental”, Madrid Ediciones Mundi Prensa, 1997, 412p. Ubicación: Biblioteca Central de la Universidad de Atacama.	NO INDICA	1	15132	0
GESTION AMBIENTAL	401	8. Coronado Maldonado Margarito y Oropeza Monterrubio Rafael, “Manual de Prevención y Minimización de la Contaminación Industrial”, Panorama Editorial,1998, 183p. Ubicación: Biblioteca Central de la Universidad de Atacama.	NO INDICA	1	15130	0
GESTION AMBIENTAL	401	9. Chile. Ministerio de Economía, “Manual de Auditoría en Producción Limpia”, Santiago, Chile: Alfabeta,1998, 175 p. Ubicación: Biblioteca Central de la Universidad de Atacama.	NO INDICA	3	13715	0
HIGIENE Y SEGURIDAD INDUSTRIAL	402	- Frank E. Fernández – Frank E. Bird, Administración del Control de Pérdidas.	NO INDICA	7	791	0
HIGIENE Y SEGURIDAD INDUSTRIAL	402	- William Handley, Manual de Seguridad Industrial.	NO INDICA	6	2395	0
HIGIENE Y SEGURIDAD INDUSTRIAL	402	- Abel Peralta, Curso de Seguridad Industrial.	NO INDICA	1	479	0
HIGIENE Y SEGURIDAD INDUSTRIAL	402	- Instituto Interamericano de Administración de Riesgos, Administración de Riesgos.	NO INDICA	2	8208	0
Inglés III	401	-Robert O`Neill, (1997). English Works 1- Students' book. Editorial Longman. Séptima edición.	NO INDICA	2	23730	0
Inglés III	401	-Sindermann, Gerda y Ana María Harvey. (1998) English for Business and Economics Editorial Gestión. Cuarta edición.	NO INDICA	0		
Inglés IV	402	-Robert O`Neill, (1997). English Works 1- Students' book. Editorial Longman. Séptima edición.	NO INDICA	2	23730	0
Inglés IV	402	-Robert O`Neill, (1997). English Works 1- Workbook. Editorial Longman. Séptima edición.	NO INDICA	0		
Inglés IV	402	-Sindermann, Gerda y Ana María Harvey. (1998) English for Business and Economics Editorial Gestión. Cuarta edición.	NO INDICA	0		
INTRODUCCIONA A LA MACROECONOMIA	401	- Rudiger Dornbusch y Stanley Fischer. “Macroeconomía” Sexta Ed. Mc Graw Hill, Madrid España 1994.	NO INDICA	27	1172-2027-10896-11563-18653-22747	
INTRODUCCIONA A LA MACROECONOMIA	401	- Gamez Aiman, Consuelo: Macroeconomía. Madrid :McGraw-Hill,1995	NO INDICA	2	6486	
INTRODUCCIONA A LA MACROECONOMIA	401	- Barro, Robert J.: Madrid :McGraw-Hill,1997.	NO INDICA	3	9245	
INTRODUCCIONA A LA MACROECONOMIA	401	- Dornbusch, Rudiger: Macroeconomía. 7º edición. Madrid:McGraw-Hill,1998	NO INDICA	27	1172-2027-10896-11563-18653-22747	
INTRODUCCIONA A LA MACROECONOMIA	401	 Miller, Roger:Macroeconomía Moderna. 4º edición. México :Harla,c 1986.	NO INDICA	4	2281	0
INTRODUCCIONA A LA MACROECONOMIA	401	- Mankiw, N.Gregory: Principios de Macroeconomía. Madrid:McGraw-Hill,1998.	NO INDICA	1	11056	
LABORATORIO DE PROCESOS EXTRACTIVOS Y NUEVAS TECNOLOGÍAS	401	1. Gutierrez, L., Sepúlveda, J. 1986. Dimensionamiento y Optimización de Plantas Concentradoras mediante Técnicas de Modelación Matemática. Editado por CIMM, 302 p. (Ubicación : Biblioteca Central de la UDA).	NO INDICA	4	132	
LABORATORIO DE PROCESOS EXTRACTIVOS Y NUEVAS TECNOLOGÍAS	401	2. Wills, B.A. 1987. Tecnología de Procesamiento de Minerales. Editorial Limusa, 1ª ed., 568 p. (Ubicación : Biblioteca Central de la UDA).	NO INDICA	2	1530	
LABORATORIO DE PROCESOS EXTRACTIVOS Y NUEVAS TECNOLOGÍAS	401	3. Kelly, R.G., Spottiswood, D.J. 1982. Introduction to Minerals Processing. John Wiley & Sons, USA, 491 p. (Ubicación : Biblioteca Central de la UDA).	NO INDICA	1	127	0
LABORATORIO DE PROCESOS EXTRACTIVOS Y NUEVAS TECNOLOGÍAS	401	6. Cáceres, G., Joly, P. 2000. Hidrometalurgia y Electrometalurgia. Universidad de Atacama, Chile. (Ubicación : Biblioteca Central de la UDA).	NO INDICA	9	366-14501-16288-17245	
LABORATORIO DE PROCESOS EXTRACTIVOS Y NUEVAS TECNOLOGÍAS	401	7. Zarate, G. 1993. Alternativas Hidrometalúrgicas para el Beneficio de Minerales de Cobre. VII Simposio de Procesamiento de Minerales ARMCO-CHILE, noviembre 1993, Viña del Mar, p. 183-220. (Ubicación : Biblioteca Central de la UDA).	NO INDICA	0		
LIDERAZGO Y COMUNICACIÓN PARA LA ACCION	402	- Austin, J.L (1982), Cómo hacer cosas con palabras, Paidos, Barcelona.	NO INDICA	0		
LIDERAZGO Y COMUNICACIÓN PARA LA ACCION	402	- Echeverría, Rafael (1983), El Búho de Minerva, Dolmen Ediciones, Santiago.	NO INDICA	1	16665	0
LIDERAZGO Y COMUNICACIÓN PARA LA ACCION	402	- Echeverría, Rafael, Ontología del lenguaje, Dolmen Ediciones, Santiago.	NO INDICA	2		
LIDERAZGO Y COMUNICACIÓN PARA LA ACCION	402	- Maturana, Humberto (1992), El sentido de lo Humano, Hachette, Santiago.	NO INDICA	6	2789-27349	
LIDERAZGO Y COMUNICACIÓN PARA LA ACCION	402	- Maturana, Humberto y Francisco Varela (1984), El árbol del conocimiento, Editorial Universitaria, Santiago.	NO INDICA	3	21214	
LIDERAZGO Y COMUNICACIÓN PARA LA ACCION	402	- Searle, Claude E. & W. Weaver (1949) The Mathematical Theory of Commnunication, University of Illinois Press, Urbana.	NO INDICA	0		
LIDERAZGO Y COMUNICACIÓN PARA LA ACCION	402	- Vygotsky, Lev (1987) Thought and Language, The Mit Press, Cambridge Mass.	NO INDICA	0		
MÁQUINAS Y EQUIPOS INDUSTRIALES	401	Alrededor del torno / W. Bartsch	NO INDICA	3	240	0
MÁQUINAS Y EQUIPOS INDUSTRIALES	401	Mecánica de fluidos y Máquinas Hidráulicas / Claudio Mataix	NO INDICA	10	2782	
MÁQUINAS Y EQUIPOS INDUSTRIALES	401	Proyecto de Elementos de Máquinas / Spotts	NO INDICA	3	231	0
MÁQUINAS Y EQUIPOS INDUSTRIALES	401	Manual de Automóviles / Arias Paz	NO INDICA	8	16	0
MÁQUINAS Y EQUIPOS INDUSTRIALES	401	Tratado de Electricidad / Chester Dawes	NO INDICA	7	793	0
MÁQUINAS Y EQUIPOS INDUSTRIALES	401	Máquinas Eléctricas y Transformadores / Kosow	NO INDICA	1	42	
marco legal en la empresa	401	- Baros, Enrique; Profesor de Derecho Civil y Filosofía del Derecho de la Universidad de Chile y Doctor en Derecho por la Universidad de Munich, Reglas y Principios de Derecho.	NO INDICA	0		
marco legal en la empresa	401	- Bobbio, Norberto, Teoría General del derecho, Ed. Temis 1987	NO INDICA	4	27597-2168	
marco legal en la empresa	401	- Castán Tobeñas, Jose Derecho Civil Español Común y Foral T.V. Vol I.	NO INDICA	0		
marco legal en la empresa	401	- Fueyo Laneri, Fernando Derecho Civil T.VI.vols I,II y II Imprenta y Litografía Universo, Santiago 1959.	NO INDICA	0		
marco legal en la empresa	401	- Humeres Magman y Otro, Derecho del trabajo y –seguridad Social, Editorial Jurídica, Chile 1995.	NO INDICA	10	7303	
marco legal en la empresa	401	- Jellinek, George, Teoría General del Estado, Cap XXII; Las garantías del Derecho público, Ed. Albatros 1970.	NO INDICA	0		
marco legal en la empresa	401	- Messineo, Francesco, Manuel de Derecho Civil y Comercial, Editoriales Jurídicas Europa-America, Buenos Aires, tomo II 1980.	NO INDICA	0		
marco legal en la empresa	401	- Palomino Manchego y Velasquez Ramirez, modernas Tendencias del Derecho en America Latina, Editorial Grijley, Lima Perú, 1997.	NO INDICA	0		
marco legal en la empresa	401	- Rawls Joh A Theory of Justice, Cambridge, Mass 1971.	NO INDICA	2	12135	
INTRODUCCION A LA MACROECONOMIA	401	- Samuelson/Nordhaus, (1986). Economia. Mexico: McGraw-Hill.	NO INDICA	17	1445-14434	
SISTEMAS DE INFORMACIÓN ADMINISTRATIVOS	402	1. Johansen, Oscar “Introducción a la Teoría de Sistemas”. Editorial Limusa. Primera Edición. 1997.	NO INDICA	8	9818	
SISTEMAS DE INFORMACIÓN ADMINISTRATIVOS	402	2. Bravo, Juan. “Análisis de Sistemas”. Editorial Evolución. Primera Edición. 1998.	NO INDICA	14	10969	
SISTEMAS DE INFORMACIÓN ADMINISTRATIVOS	402	3. Murdick, Robert. “Sistemas de Información administrativos”. Editorial Prentice-Hall Hispanoamericana. Segunda Edición. 1997.	NO INDICA	2	9208	0
SISTEMAS DE INFORMACIÓN ADMINISTRATIVOS	402	4. Barros, Oscar. “Sistemas de Información administrativos”. Editorial Universitaria. Segunda Edición. 1997.	NO INDICA	1	567	0
SISTEMAS DE INFORMACIÓN ADMINISTRATIVOS	402	6. Senn, James. “Análisis y Diseño de Sistemas de Información”. Editorial McGraw- Hill. Segunda Edición. 1993.	NO INDICA	24	4301	0
CONTROL AUTOMATICO	402	- Ogata, K. (1980). Ingeniería de control moderno. Madrid: Prentice-Hall. ISBN 84-237-0470-X. ubicación en biblioteca: 629.8 O34	NO INDICA	8	35-23582-7918-22550	
CONTROL AUTOMATICO	402	- Kuo, B. (1996) Sistemas de control automático. México: Prentice Hall Hispanoamericana. ISBN 968-880-723-0	NO INDICA	3	10858	
TALLER DE RELACIONES INTERPERSONALES	401	- Austin, J.L (1982), Cómo hacer cosas con palabras, Paidos, Barcelona.	NO INDICA	0		
TALLER DE RELACIONES INTERPERSONALES	401	- Echeverría, Rafael (1983), El Búho de Minerva, Dolmen Ediciones, Santiago.	NO INDICA	1	16665	0
TALLER DE RELACIONES INTERPERSONALES	401	- Echeverría, Rafael, Ontología del lenguaje, Dolmen Ediciones, Santiago.	NO INDICA	2		
TALLER DE RELACIONES INTERPERSONALES	401	- Maturana, Humberto (1992), El sentido de lo Humano, Hachette, Santiago.	NO INDICA	6	2789-27349	
TALLER DE RELACIONES INTERPERSONALES	401	- Maturana, Humberto y Francisco Varela (1984), El árbol del conocimiento, Editorial Universitaria, Santiago.	NO INDICA	3	21214	
TALLER DE RELACIONES INTERPERSONALES	401	- Searle, Claude E. & W. Weaver (1949) The Mathematical Theory of Commnunication, University of Illinois Press, Urbana.	NO INDICA	0		
TALLER DE RELACIONES INTERPERSONALES	401	- Vygotsky, Lev (1987) Thought and Language, The Mit Press, Cambridge Mass.	NO INDICA	0		
Administración de Sistemas Organizacionales	501	1. Rodriguez Mansill Dario.Diagnóstico Organizacional.Ediciones Universidad Católica de Chile.1998. Biblioteca UDA 658.406 R696d	NO INDICA	15	19588	
Administración de Sistemas Organizacionales	501	2. Wendell L. French. Desarrollo Organizacional .Editorial Prentice Hall. Quinta Edición 1995.	NO INDICA	21	18658-27835	
Administración de Sistemas Organizacionales	501	3. W. Warner Burke .Desarrollo Organizacional Punto de vista normativo. Editorial Addison-Wesley Iberoamericana .1988	NO INDICA	0		
Administración de Sistemas Organizacionales	501	4. Edagar H.Schein . Consultoría de Procesos. Su papel en el Desarrollo Organizacional	NO INDICA	0		
Administración de Sistemas Organizacionales	501	5. Guizar Rafael.Desarrollo organizacional Principios y Aplicaciones.Editorial Mc Graw Hill.primera edición.1998	NO INDICA	23	18857-22011-27170	
ANALISIS NUMERICOS	502	· Anthony Ralston y Fhilip Rabinowitz. A Fist Course in Numerical Analysis. Edit Mc Graw Hill.	NO INDICA	0		
ANALISIS NUMERICOS	502	Elíseo Martínez H. Análisis Numérico. 2001	NO INDICA	0		
Computación para Industrias II.	502	1. Korth-Abraham Silberschatz, Henry F. “Fundamentos de Bases de Datos”. Editorial Mc Graw Hill 2ª Edición, 1993.	NO INDICA	5	4330-22729-22937	
Computación para Industrias II.	502	2. C.J. Date, Addison Wesley. “Introducción a los Sistemas de Bases de Datos”. Editorial Prentice Hall. Tercera Edición. 1997.	NO INDICA	4	4065-12410	
Computación para Industrias II.	502	3. Gazo Cervero, Alfonso. “Manual Avanzado de Access 2000”, Editorial Anaya 1ª Edición, 1999.	NO INDICA	0		
CONTABILIDAD Y CONTROL DE GESTION	501	1. Horngren, Charles. “Contabilidad Financiera”. Editorial Prentice Hall. 1985.	NO INDICA	1	111	
CONTABILIDAD Y CONTROL DE GESTION	501	2. Horngren, Charles. “Contabilidad de Costos, un enfoque de gerencia”. Editorial Prentice Hall nternational. 1987.	NO INDICA	2	81	
CONTABILIDAD Y CONTROL DE GESTION	501	3. Vargas V., Luis. “Contabilidad de Costos”. Edit. Soelco. 6ª edición. 1998	NO INDICA	13	11471	
CONTABILIDAD Y CONTROL DE GESTION	501	4. Sepúlveda, Fernando. “Contabilidad básica y presupuestaria”. Edit. Univ. de Concepción. 1990.	NO INDICA	5	59	0
CONTABILIDAD Y CONTROL DE GESTION	501	5. Vargas V., Luis. “Estado de flujo de caja”. Editorial Soelco. 4ª Edición. 1998	NO INDICA	5	11409-14498	
CONTABILIDAD Y CONTROL DE GESTION	501	6. Superintendencia de Valores y Seguros. “Circular 1501 del 04/10/2000, Normas sobre forma y contenido de los estados financieros de las Sociedades inscritas en el registro de valores”. 2000	NO INDICA	0		
CONTABILIDAD Y CONTROL DE GESTION	501	7. Servicio de Impuestos Internos. “Ley del IVA”, “Ley de la Renta”.	NO INDICA	4		
CONTABILIDAD Y CONTROL DE GESTION	501	8. Jiménez Bermejo, Patricio, Control de Gestión,	NO INDICA	4	16077-5165	
Inglés VI	502	Robert O`Neill, (1997). English Works 2- Students' book. Editorial Longman. Tercera edición.	NO INDICA	2	23730	0
Inglés VI	502	- Robert O`Neill, (1997). English Works 2- Workbook. Editorial Longman. Tercera edición.	NO INDICA	0		
Inglés V	501	Robert O`Neill, (1996). English Works 2- Students' book. Editorial Longman.tercera edición.	NO INDICA	0		
Inglés V	501	-Robert O`Neill, (1996). English Works 2- Workbook. Editorial Longman. Tercera edición.	NO INDICA	0		
Inglés V	501	-Sindermann, Gerda y Ana María Harvey. (1998) English for Business and Economics Editorial Gestión. Cuarta edición.	NO INDICA	0		
LABORATORIO DE SISTEMAS DINÁMICOS Y MODELACIÓN	502	Dinámica de Sistemas, Javier Aracil y Francisco Gordillo. Alianza Universidad Textos. Madrid. 1997.	NO INDICA	0		
LABORATORIO DE SISTEMAS DINÁMICOS Y MODELACIÓN	502	Dynamic Modeling, Bruce Hannon & Matthias Ruth. Springer-Verlag. 1994.	NO INDICA	4	8912	0
LABORATORIO DE SISTEMAS DINÁMICOS Y MODELACIÓN	502	Modeling Dynamic Economic Systems, Matthias Ruth & Bruce Hannon. Springer. 1997.	NO INDICA	0		
LABORATORIO DE SISTEMAS DINÁMICOS Y MODELACIÓN	502	Understanding Nonlinear Dynamics. Daniel Kaplan and Leon Glass. Springer-Verlag. 1995	NO INDICA	0		
LABORATORIO DE SISTEMAS DINÁMICOS Y MODELACIÓN	502	Perspectivas en la teoría general de sistemas. Ludwig von Bertalanffy. Alianza Universidad. 1992	NO INDICA	0		
LABORATORIO DE SISTEMAS DINÁMICOS Y MODELACIÓN	502	El pensamiento de Prigogine, la belleza del caos. Arnaud Spire. Editorial Andres Bello. 2000	NO INDICA	1	15815	0
LABORATORIO DE SISTEMAS DINÁMICOS Y MODELACIÓN	502	Hacia un mundo sin pobreza. Muhammad Yunus. Editorial Andres Bello. 1998	NO INDICA	4	15758	0
LABORATORIO DE SISTEMAS DINÁMICOS Y MODELACIÓN	502	Dinámica de Sistemas y Modelación, Eliseo Martínez H., monografía, 2001	NO INDICA	0		
MACROECONOMÍA	502	Dornbusch, Rudiges: “Macroeconomía”. Edit. Mc Graw Hill, España, 1999 . ISBN: 968-451-048-9. Ubicación biblioteca: 339 D713mac.	NO INDICA	12	1172-22747	
MACROECONOMÍA	502	Leroy Miller: Roger Macroeconomía Moderna, Mc Graw Hill, 1996. ISBN: 968-6034-47-1. Ubicación biblioteca: 339 L621	NO INDICA	1	8941	0
MACROECONOMÍA	502	Sachs – Larraín: “Macroeconomía en la Economía Global”. Edit Prentice Hall, Mexico, 1994	NO INDICA	16	18651-27233	
PREPARACIÓN Y EVALUACIÓN DE PROYECTOS I	501	- Sapag Chain, Nassir Formulación y Evaluación de Proyectos, Bogotá: McGraw-Hill,1989. ISBN 84-237-0470-X. Ubicación en biblioteca: 658.404 S241	NO INDICA	3	582-21628	
PREPARACIÓN Y EVALUACIÓN DE PROYECTOS I	501	- Canada, John R. Analisis de la inversion de capital para ingenieria y administración. Mexico:Prentice-Hall Hispanoamericana,1997. ISBN 968-880-956-X. Ubicación en biblioteca: 658.152 C212.	NO INDICA	4	10834	
PREPARACIÓN Y EVALUACIÓN DE PROYECTOS I	501	- Fontaine, Ernesto R. Evaluación social de proyectos. Santiago, Chile: Universidad Católica, 1981. Ubicación en biblioteca: 658.404 F678	NO INDICA	13	572	
PREPARACIÓN Y EVALUACIÓN DE PROYECTOS I	501	- Sapag Chain, Nassir. Evaluación de proyectos de inversión en la empresa. Buenos Aires: Prentice - Hall,2001. Ubicación en biblioteca: 658.404 S241eva	NO INDICA	1	16505	0
PREPARACIÓN Y EVALUACIÓN DE PROYECTOS I	501	- MIDEPLAN. Preparacion y presentacion de proyectos de inversión. Santiago:Mideplan,1993. Ubicación en biblioteca: 332.6725 P969.	NO INDICA	2	8877	0
